account,token address,amount,state,pool address,tx id,,,,
0.0.820781,54.55449745240430,SUCCESS,0.0.6070128,0.0.6078473,0.0.4138717@1728336186.522815432,,,,
0.0.1085174,996.4109210546670,SUCCESS,0.0.6070128,0.0.6078473,0.0.4138717@1728336186.077428732,,,,
0.0.1421971,1.679003181619350,SUCCESS,0.0.6070128,0.0.6078473,0.0.4138717@1728336185.817132620,,,,
0.0.4784258,39.25742997447120,SUCCESS,0.0.6070128,0.0.6078473,0.0.4138717@1728336185.950511012,,,,
0.0.4836643,2.773851027592500,SUCCESS,0.0.6070128,0.0.6078473,0.0.4138717@1728336191.533647656,,,,
0.0.1528821,0.1616958904752380,SUCCESS,0.0.6070128,0.0.6078473,0.0.4138717@1728336189.843956148,,,,
0.0.6080537,2902.24178692345,SUCCESS,0.0.6070128,0.0.6078473,0.0.4138717@1728336191.426006013,,,,
0.0.5195606,0.4622808462847240,SUCCESS,0.0.6070128,0.0.6078473,0.0.4138717@1728336188.916350468,,,,
0.0.1265153,5.3666550285832E-08,NOT_ASSOCIATED,0.0.4794920,0.0.3951117,,,,,
0.0.1082789,71970.6481657621,SUCCESS,0.0.4794920,0.0.3951117&0.0.6071119,0.0.4138717@1728335818.519412868,,,,
0.0.2773436,252.8698977780020,SUCCESS,0.0.4794920,0.0.3951117&0.0.3964804&0.0.6071119,0.0.4138717@1728335817.519967076,,,,
0.0.732888,0.01749107668432460,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335820.488008824,,,,
0.0.9541,0.00006601306871143350,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335817.265133398,,,,
0.0.1411460,0.4813705149905800,SUCCESS,0.0.4794920,0.0.3951117&0.0.3964804,0.0.4138717@1728335819.272725216,,,,
0.0.1113616,0.00009102365846726930,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335817.971497581,,,,
0.0.1872027,0.001098846335478550,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335821.541288671,,,,
0.0.793607,71810.53144637280,SUCCESS,0.0.4794920,0.0.3951117&0.0.3964804&0.0.6071119,0.0.4138717@1728335819.480652390,,,,
0.0.3508859,73.92971071936760,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335819.303842782,,,,
0.0.731977,0.06776238362165290,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335820.639366759,,,,
0.0.1485035,5.017676797361480,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335820.539349386,,,,
0.0.836838,14.45391744193860,SUCCESS,0.0.4794920,0.0.3951117&0.0.3964804,0.0.4138717@1728335824.339173740,,,,
0.0.3507586,0.00371788935656394,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335824.715833989,,,,
0.0.844721,2.881057062378020,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335826.500757965,,,,
0.0.481090,13.32711835371760,SUCCESS,0.0.4794920,0.0.3951117&0.0.6071119,0.0.4138717@1728335824.009966504,,,,
0.0.1416857,0.00002292301559986780,NOT_ASSOCIATED,0.0.4794920,0.0.3951117,,,,,
0.0.565201,19.2384181911478,SUCCESS,0.0.4794920,0.0.3951117&0.0.3964804&0.0.6071119,0.0.4138717@1728335826.466839972,,,,
0.0.3241044,0.05596084123480000,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335826.125438989,,,,
0.0.834663,46.85551078090100,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335825.811715315,,,,
0.0.29723,0.02467390512175580,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335827.103495241,,,,
0.0.833314,0.00006595768325022250,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335828.541118284,,,,
0.0.1715837,7670.459383120590,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335827.625060261,,,,
0.0.1989161,363.1356692892680,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335827.245667761,,,,
0.0.1428736,0.00694529191593276,NOT_ASSOCIATED,0.0.4794920,0.0.3951117,,,,,
0.0.1528,0.8181003583635220,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335830.455889324,,,,
0.0.956549,2.380853984502580,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335830.741256200,,,,
0.0.1008120,0.00000415969773498516,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335830.335889143,,,,
0.0.124629,3.005762994156110,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335829.174063612,,,,
0.0.3845966,0.1166624864246590,SUCCESS,0.0.4794920,0.0.3951117&0.0.3964804,0.0.4138717@1728335828.912233901,,,,
0.0.1262716,0.00000530937285759852,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335831.421444795,,,,
0.0.1088394,461.0434575015640,SUCCESS,0.0.4794920,0.0.3951117&0.0.3964804,0.0.4138717@1728335833.783025127,,,,
0.0.584147,0.9855661329525100,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335830.945361152,,,,
0.0.2164451,0.004248144969060480,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335830.283118016,,,,
0.0.1724832,0.004439993763234640,SUCCESS,0.0.4794920,0.0.3951117&0.0.3964804,0.0.4138717@1728335830.948710642,,,,
0.0.832624,11.57466453317550,SUCCESS,0.0.4794920,0.0.3951117&0.0.3964804,0.0.4138717@1728335835.098606251,,,,
0.0.3947779,0.5020664896097160,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335835.672920691,,,,
0.0.3916002,0.02026388803449170,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335836.427121369,,,,
0.0.2116956,0.000008451281521572180,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335834.541069240,,,,
0.0.1050553,0.000002717698662154420,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335835.814469004,,,,
0.0.1478185,0.00005671135493525730,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335837.782766223,,,,
0.0.834423,0.1044734278650290,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335838.198544194,,,,
0.0.850664,0.1728838825721650,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335838.966831677,,,,
0.0.925802,0.001624572309702470,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335836.742566795,,,,
0.0.1200333,0.07088736220469720,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335839.767956893,,,,
0.0.1113738,0.3024500469252710,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335837.562806420,,,,
0.0.819461,0.000002942008862771220,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335837.575520747,,,,
0.0.2020001,2.074143976928030,SUCCESS,0.0.4794920,0.0.3951117&0.0.6071119,0.0.4138717@1728335839.016545028,,,,
0.0.860478,5.607446855188640,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335837.768409822,,,,
0.0.4228598,0.00239032924485916,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335838.583547409,,,,
0.0.1412849,0.000002810561809788010,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335842.893792364,,,,
0.0.3931109,0.0001620440276374490,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335839.838510156,,,,
0.0.3162150,0.0416133540697152,NOT_ASSOCIATED,0.0.4794920,0.0.3951117,,,,,
0.0.814618,0.07103491189985390,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335844.217979268,,,,
0.0.914261,0.317738283987566,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335842.290294104,,,,
0.0.1425168,1.177441881813400,SUCCESS,0.0.4794920,0.0.3951117&0.0.6071119,0.0.4138717@1728335840.651611263,,,,
0.0.4315490,0.00001434547752173980,NOT_ASSOCIATED,0.0.4794920,0.0.3951117,,,,,
0.0.3966315,0.2016126622972820,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335840.867560811,,,,
0.0.4321631,0.00001734244817445310,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335842.189142853,,,,
0.0.1261552,0.007732508784482620,NOT_ASSOCIATED,0.0.4794920,0.0.3951117&0.0.3964804,,,,,
0.0.4247268,0.00489649979421818,SUCCESS,0.0.4794920,0.0.3951117,0.0.4138717@1728335842.945384088,,,,
0.0.4205604,0.00002044439088255200,NOT_ASSOCIATED,0.0.4794920,0.0.3951117,,,,,
0.0.1018824,2.575540913391210,SUCCESS,0.0.4794920,0.0.3951117&0.0.3964804&0.0.6071119,0.0.4138717@1728335845.233833117,,,,
