Account ID,SAUCE Amount,Airdrop Status,Airdrop TX ID
0.0.860058,0.603097791,SUCCESS, 0.0.4138717@1701632571.61144379
0.0.159159,24.6673564,SUCCESS, 0.0.4138717@1701632576.395187858
0.0.1152713,20391.57495,SUCCESS, 0.0.4138717@1701632584.313965400
0.0.1274087,0.02906507,SUCCESS, 0.0.4138717@1701632583.586819271
0.0.1263006,0.021082608,SUCCESS, 0.0.4138717@1701632591.439238181
0.0.1396279,1834.77611,SUCCESS, 0.0.4138717@1701632596.993389331
0.0.1378130,234.3805043,SUCCESS, 0.0.4138717@1701632603.885922147
0.0.972955,0.007372959,SUCCESS, 0.0.4138717@1701632609.921947746
0.0.1483886,590.6880045,SUCCESS, 0.0.4138717@1701632617.446630770
0.0.881395,6.886933524,SUCCESS, 0.0.4138717@1701632624.531339460
0.0.660921,0.926381428,SUCCESS, 0.0.4138717@1701632627.39614086
0.0.1415474,4167.098232,SUCCESS, 0.0.4138717@1701632633.184458919
0.0.53416,4692.243498,SUCCESS, 0.0.4138717@1701632640.447615472
0.0.965222,792.9912076,SUCCESS, 0.0.4138717@1701632641.515013420
0.0.1453734,255.3608934,SUCCESS, 0.0.4138717@1701632646.631644578
0.0.732317,1033.615709,SUCCESS, 0.0.4138717@1701632653.376572710
0.0.480138,493.8784962,SUCCESS, 0.0.4138717@1701632661.497534349
0.0.686304,1.006501324,SUCCESS, 0.0.4138717@1701632664.457292813
0.0.853175,227.8188994,SUCCESS, 0.0.4138717@1701632667.120028029
0.0.767006,417.8719205,SUCCESS, 0.0.4138717@1701632688.276453380
0.0.643109,31.60100546,SUCCESS, 0.0.4138717@1701632691.586325210
0.0.3441589,0.003567091,SUCCESS, 0.0.4138717@1701632699.256651255
0.0.1974872,1621.723658,SUCCESS, 0.0.4138717@1701632706.595347336
0.0.2875412,157.1592774,SUCCESS, 0.0.4138717@1701632719.265167789
0.0.2185216,1809.571862,SUCCESS, 0.0.4138717@1701632721.810427218
0.0.499534,11593.83271,SUCCESS, 0.0.4138717@1701632731.332932602
0.0.1068842,149.1917298,SUCCESS, 0.0.4138717@1701632743.304489947
0.0.582024,0.000898056,SUCCESS, 0.0.4138717@1701632758.648398969
