Account ID,Token ID,Airdrop Amount,Airdrop Status,Pools,Airdrop TX ID
0.0.4308429,0.0.731861,0.810770978,SUCCESS,0.0.3964790,0.0.4138717@1721149828.903051752
0.0.3931109,0.0.731861,3.25483182,SUCCESS,0.0.3964790&0.0.3961531&0.0.3951117,0.0.4138717@1721149830.331312325
0.0.4260995,0.0.731861,0.474340757,SUCCESS,0.0.3964790,0.0.4138717@1721149831.016018186
0.0.159159,0.0.731861,0.013939704,SUCCESS,0.0.3964790,0.0.4138717@1721149832.077811270
0.0.835079,0.0.731861,9.82775E-06,SUCCESS,0.0.3964790&0.0.3951117,0.0.4138717@1721149831.185062464
0.0.4317784,0.0.731861,0.093259393,SUCCESS,0.0.3964790,0.0.4138717@1721149830.637036896
0.0.1386381,0.0.731861,160.1388217,SUCCESS,0.0.3964790&0.0.3951117,0.0.4138717@1721149832.094730789
0.0.835202,0.0.731861,1.09E-08,SUCCESS,0.0.3964790,0.0.4138717@1721149831.317228432
0.0.847471,0.0.731861,7.282820752,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1721149834.157948751
0.0.4345189,0.0.731861,0.201505873,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964827,0.0.4138717@1721149832.671558959
0.0.4239072,0.0.731861,15.95812246,SUCCESS,0.0.3964790,0.0.4138717@1721149833.877137310
0.0.2150506,0.0.731861,0.001882162,SUCCESS,0.0.3964790,0.0.4138717@1721149832.054462187
0.0.1018894,0.0.731861,0.023193178,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1721149836.924869984
0.0.639696,0.0.731861,0.047327871,SUCCESS,0.0.3964790,0.0.4138717@1721149833.902729141
0.0.1314568,0.0.731861,4595.893479,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1721149835.844653349
0.0.920901,0.0.731861,0.000199469,SUCCESS,0.0.3964790,0.0.4138717@1721149833.526707449
0.0.837751,0.0.731861,5.58E-08,SUCCESS,0.0.3964790,0.0.4138717@1721149837.485624429
0.0.624669,0.0.731861,0.034576618,SUCCESS,0.0.3964790,0.0.4138717@1721149838.559956180
0.0.2117864,0.0.731861,0.081518378,SUCCESS,0.0.3964790,0.0.4138717@1721149837.638218939
0.0.4349304,0.0.731861,0.093643979,SUCCESS,0.0.3964790&0.0.3964837,0.0.4138717@1721149836.900118942
0.0.1358086,0.0.731861,7.245396439,SUCCESS,0.0.3964790,0.0.4138717@1721149838.987286309
0.0.4342200,0.0.731861,0.116902531,SUCCESS,0.0.3964790,0.0.4138717@1721149838.627001442
0.0.4357873,0.0.731861,2.74159548,SUCCESS,0.0.3964790&0.0.3961531&0.0.3964795&0.0.3964800&0.0.3951117,0.0.4138717@1721149838.424305068
0.0.4358173,0.0.731861,4.229968211,SUCCESS,0.0.3964790&0.0.3964804,0.0.4138717@1721149840.105223059
0.0.4357832,0.0.731861,15.52664857,SUCCESS,0.0.3964790&0.0.3951117,0.0.4138717@1721149837.389953356
0.0.3597846,0.0.731861,4.115425937,SUCCESS,0.0.3964790&0.0.3951117,0.0.4138717@1721149840.405641669
0.0.4368465,0.0.731861,0.009265465,SUCCESS,0.0.3964790,0.0.4138717@1721149839.628320237
0.0.4157394,0.0.731861,4.81E-07,SUCCESS,0.0.3964790,0.0.4138717@1721149840.602713773
0.0.4363785,0.0.731861,8.7830313,SUCCESS,0.0.3964790,0.0.4138717@1721149844.979166826
0.0.4348956,0.0.731861,0.109415218,SUCCESS,0.0.3964790,0.0.4138717@1721149841.830109092
0.0.1703452,0.0.731861,133.9578331,SUCCESS,0.0.3964790&0.0.3961531&0.0.3964837&0.0.3964804,0.0.4138717@1721149845.126529529
