account,token address,amount,state,pool address,tx id
0.0.817883,0.0.731861,2.6945E-05,SUCCESS,0.0.3964790,0.0.4138717@1722282501.282647813
0.0.3845966,0.0.731861,0.220813782,SUCCESS,0.0.3964790&0.0.3961531&0.0.3951117&0.0.3964827&0.0.3964804,0.0.4138717@1722282499.440829607
0.0.1075172,0.0.731861,0.015002521,SUCCESS,0.0.3964790,0.0.4138717@1722282503.485901716
0.0.1093567,0.0.731861,0.046955125,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1722282503.901828534
0.0.1088394,0.0.731861,69.33062112,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964804&0.0.3964860,0.0.4138717@1722282504.087510440
0.0.1724832,0.0.731861,0.02145799,SUCCESS,0.0.3964790&0.0.3951117&0.0.3964804,0.0.4138717@1722282504.895311624
0.0.1728068,0.0.731861,0.002546098,SUCCESS,0.0.3964790,0.0.4138717@1722282503.412095136
0.0.664681,0.0.731861,5.587275584,SUCCESS,0.0.3964790&0.0.3964837,0.0.4138717@1722282506.045469021
0.0.3954776,0.0.731861,0.063975988,SUCCESS,0.0.3964790,0.0.4138717@1722282501.580786758
0.0.1421971,0.0.731861,380.3203032,SUCCESS,0.0.3964790&0.0.3964795&0.0.3964815&0.0.3964821&0.0.3964860,0.0.4138717@1722282506.295022090
0.0.847393,0.0.731861,4.495072634,SUCCESS,0.0.3964790&0.0.3961531,0.0.4138717@1722282503.400429131
0.0.957742,0.0.731861,0.069500569,SUCCESS,0.0.3964790,0.0.4138717@1722282502.508705635
0.0.3076299,0.0.731861,0.001001703,SUCCESS,0.0.3964790&0.0.3964827,0.0.4138717@1722282502.949384327
0.0.1106129,0.0.731861,89.72023099,SUCCESS,0.0.3964790&0.0.3964804,0.0.4138717@1722282505.550563158
0.0.4308429,0.0.731861,0.850279495,SUCCESS,0.0.3964790,0.0.4138717@1722282505.810376190
0.0.660921,0.0.731861,0.050908945,SUCCESS,0.0.3964790,0.0.4138717@1722282507.498319202
0.0.3931109,0.0.731861,1.956558984,SUCCESS,0.0.3964790&0.0.3961531&0.0.3951117,0.0.4138717@1722282508.494708835
0.0.4260995,0.0.731861,0.222314663,SUCCESS,0.0.3964790,0.0.4138717@1722282507.653669764
0.0.159159,0.0.731861,0.01461898,SUCCESS,0.0.3964790,0.0.4138717@1722282508.648463703
